AreaManagerId,FareCalculationCode,StartDateFarePart,StartDurationFarePart,EndDurationFarePart,AmountFarePart,StepSizeFarePart,EndDateFarePart,AmountCumulative
505,GAR10,20131218,0,999999,2.00000000,1440,29991231,0.00000000
988,GAR01,20141027,0,999999,0.02000000,1,20200713,0.00000000
361,REG12,20190201,0,60,0.00000000,1,20200201,0.00000000
361,REG04,20190201,0,999999,0.01283333,1,20200201,0.00000000
361,REG15,20200201,108,999999,0.00000000,240,29991231,3.52800036
2449,GAR16,20140901,0,15,0.00000000,15,29991231,0.00000000
34,BEZVGAB,20170102,120,999999,0.30000000,1320,29991231,0.70000000
2460,GAR04,20131112,0,999999,10.00000000,1440,29991231,0.00000000
718,GAR03,20140101,0,38,0.50000000,38,29991231,0.00000000
373,DAGKAART4E,20130320,0,999999,4.00000000,540,29991231,0.00000000
243,TER03,20130930,0,999999,0.00000000,780,29991231,0.00000000
34,BEZVGAS,20170102,120,360,1.40000000,120,29991231,1.40000000
166,TAR04,20120516,0,999999,5.00000000,780,20130101,0.00000000
1961,12UUR,20190101,0,999999,3.30000000,720,29991231,0.00000000
344,AVK01,20111123,0,999999,14.70000000,360,20120101,0.00000000
1952,1952_CPSLO,20180101,0,999999,0.00000000,1,29991231,0.00000000
505,GAR03,20131218,0,999999,14.00000000,1440,29991231,0.00000000
1900,TAR05,20131024,0,999999,0.35000000,15,29991231,0.00000000
687,GAR02,20131010,0,999999,6.00000000,720,20140101,0.00000000
80,GAR07,20131126,0,999999,7.50000000,1440,20140101,0.00000000
34,DAG02,20130101,0,999999,24.90000000,1020,20140101,0.00000000
2062,GAR18,20131030,120,150,1.00000000,30,29991231,0.00000000
203,TAR03,20120914,20,45,0.00800000,1,29991231,0.10000000
299,GAR01,20200713,0,999999,0.90000000,60,29991231,0.00000000
1883,GAR03,20160301,0,999999,1.50000000,120,20200713,0.00000000
2449,GAR30,20131108,0,999999,30.00000000,1440,29991231,0.00000000
177,GAR02,20131009,0,999999,4.00000000,720,29991231,0.00000000
200,GAR03,20131212,0,999999,0.49833333,26,20140101,0.00000000
200,TAR03,20140101,0,999999,13.30000000,1440,20141017,0.00000000
1900,GAR02,20131011,0,999999,2.00000000,720,29991231,0.00000000
